Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2009-12-27,1,1,1,40.744967726933936,-73.99562023259351,2,1,1,1,60.0,420.0,803.0,0.0,0.0,1,0.0,6,18,12,2013-08-13,2014-12-11,0.26,92.0,0,1,0,1,0,0,1,0,0,1
2011-02-02,1,1,1,40.739406984170216,-74.00067242906583,2,1,1,1,230.0,1610.0,6900.0,300.0,80.0,2,40.0,4,30,8,2015-06-03,2015-12-04,0.34,98.0,0,1,1,0,0,0,1,0,0,1
2015-02-11,1,1,1,40.750056768751215,-73.99582720536074,2,1,0,1,125.0,875.0,3750.0,250.0,35.0,1,0.0,3,20,11,2016-10-02,2017-05-01,1.53,89.0,0,1,1,0,0,0,1,0,1,0
2016-07-05,1,1,1,40.74704545129601,-74.0025679418927,4,2,2,2,350.0,2450.0,10500.0,0.0,50.0,1,0.0,1,1125,3,2016-11-25,2017-01-01,0.56,93.0,0,1,1,0,0,0,1,0,1,0
2012-04-17,1,1,1,40.74803845041253,-74.0030555595896,2,1,1,1,195.0,1365.0,5850.0,0.0,45.0,1,0.0,5,1125,23,2016-02-08,2017-03-27,1.53,97.0,0,1,1,0,0,0,1,0,0,1
2016-09-03,1,1,1,40.74041479232153,-73.99989829609419,2,1,1,1,158.0,1106.0,4740.0,0.0,49.0,1,0.0,2,1125,1,2016-09-23,2017-03-22,0.13,100.0,0,1,1,0,0,0,1,0,0,1
2011-09-15,1,1,1,40.74375855935151,-74.00386824557107,6,1,2,2,433.0,3031.0,12990.0,0.0,85.0,4,65.0,2,1125,86,2015-10-05,2017-05-02,4.46,97.0,0,1,1,0,0,0,1,0,1,0
2012-09-18,2,2,2,40.741368111206285,-74.00354075577259,2,1,1,1,125.0,875.0,3750.0,0.0,50.0,2,0.0,2,45,5,2017-03-31,2017-04-29,4.29,100.0,0,1,0,1,0,0,1,0,0,1
2013-08-22,3,3,1,40.752329607039655,-74.0025193625928,2,1,1,1,109.0,763.0,3270.0,150.0,35.0,1,20.0,2,60,18,2016-10-21,2017-04-26,2.76,92.0,0,1,0,1,0,0,1,0,0,1
2013-06-06,1,1,1,40.73975621640211,-73.99591885404297,3,1,1,2,247.0,1729.0,7410.0,0.0,75.0,1,0.0,3,1125,3,2014-10-27,2017-01-01,0.1,100.0,0,1,1,0,0,0,1,1,0,0
2011-12-05,1,1,1,40.74387633210355,-73.99923112352735,6,2,2,2,450.0,3150.0,13500.0,500.0,150.0,4,50.0,2,365,41,2012-01-06,2017-04-17,0.63,98.0,0,1,1,0,0,0,1,0,1,0
2014-01-02,1,1,1,40.749348451151945,-73.99723222599354,2,1,1,1,150.0,1050.0,4500.0,250.0,60.0,2,50.0,2,7,28,2014-02-14,2017-04-16,0.71,92.0,0,1,1,0,0,0,1,0,1,0
2014-05-19,1,1,1,40.75003600926781,-73.9964657247624,1,1,0,1,89.0,623.0,2670.0,0.0,30.0,1,0.0,1,1125,187,2014-05-31,2017-04-30,5.25,90.0,0,1,1,0,0,0,1,0,0,1
2014-11-03,1,1,1,40.74034082118396,-73.99933149332477,2,1,1,1,219.0,1533.0,4800.0,0.0,49.0,2,0.0,5,1125,27,2015-06-08,2017-04-02,1.16,99.0,0,1,1,0,0,0,1,0,0,1
